순번,문항,지문,보기,답,,,,,,,,,,,,,,,,,,
1,윗글의 내용과 같은 것을 고르십시오. ,"남녀노소 모두 무료로 즐길 수 있는 특별한 축제가 열립니다. 가을 하늘을 불꽃으로 가득 채울 이번 축제에서는 불꽃놀이뿐만 아니라 다양한 축제 부스, 그리고 화려한 라이브 음악 공연이 준비되어 있습니다. ","1) 축제는 겨울에 열린다.
2) 축제에서는 불꽃놀이만 볼 수 있다.
3) 축제에서는 영화 상영이 준비되어 있다.
4) 축제는 원하는 사람이면 누구나 갈 수 있다.",4,,,,,,,,,,,,,,,,,,
2,다음 신문 기사 제목을 잘 설명한 것을 고르십시오.," 폭염에 오이, 애호박 수확량 반토막, 농민들 울상","① 더운 날씨에 농작물이 잘 자란다.
② 농민들이 흉작이라 어려움이 많다.
③ 수확량이 증가하여서 가격이 떨어졌다.
④ 추운 날씨로 인해 농민들이 힘들어한다.",2,,,,,,,,,,,,,,,,,,
3,다음을 순서대로 나열한 것을 고르십시오. ,"(가) 회의에 앞서 문제 사항을 정리하고, 발표를 하기 위해 자료를 정리합니다. 
(나) 회의 중에는 문제를 제시하고, 그에 대한 서로의 의견을 나눕니다.
(다) 그때 나온 해결 방안을 정리하고 회의를 마칩니다. 
(라) 회사에서 문제가 생겼을 때 구성원들의 의견을 듣고, 해결 방안을 찾기 위해서 회의가 필요합니다","1) 가-나-다-라 
2) 가-다-라-가  
3) 라-가-나-다 
4) 라-나-다-가",3,,,,,,,,,,,,,,,,,,
4,(      )안에 들어갈 말로 알맞은 것을 고르십시오.,"반려동물을 기르는 것은 사람들에게 (         ) 영향을 준다. 우울증 환자에게 반려동물 입양을 권한 후에 우울증이 나아진다는 연구 결과가 있다. 반대로 반려동물 때문에 우울증을 얻는 경우도 있는데, 반려동물이 죽은 후에 겪는 상실감이 그 예이다.  ","1) 사회적인 
2) 문화적인 
3) 심리적인 
4) 경제적인",3,,,,,,,,,,,,,,,,,,
5,윗글의 내용과 같은 것을 고르십시오. ,지난주에 자격증 시험을 보러 낯선 장소에 가야 했는데 전날 밤에 공부하느라고 늦게 자서 아침에 알람 소리를 못 들었다. 게다가 길에서 사고가 나는 바람에 길이 막혔다. 드디어 시험을 보는 건물에 도착을 했는데 이번에는 건물 안이 복잡해서 시험장을 찾을 수가 없었다. 시간은 자꾸 가는데 어디로 가야 할지 몰라 a. 마음을 졸였다 . 그때 건물에서 청소하시는 아주머니를 발견해서 아주머니께 시험장이 어디에 있냐고 여쭤봤더니 친절하게 그곳까지 데려다 주셨다. 다행히 아주머니 덕분에 시험 시작 전에 도착할 수 있어서 마음을 놓았다. ,"1) 시험장은 글쓴이에게 익숙한 곳이다.
2) 시험 날 아침에 교통 상황이 안 좋았다.
3) 글쓴이는 시험장을 천천히 둘러보았다.  
4) 글쓴이는 시험장에 도착해서도 불안했다.  ",2,,,,,,,,,,,,,,,,,,
6,다음 표를 활용할 수 있는 적절한 글을 고르시오.,,"① 세대별 선호하는 매체 설명하는 글
  ② 매체에 따른 세대별 관심사 비교하는 글
  ③ 세대별 매체 선호도에 대해 분석하는 글
  ④ 청소년층의 미디어 사용 증가에 대한 비판하는 글",1,,,,,,,,,,,,,,,,,,
7,] (     )에 들어갈 말로 가장 알맞은 것을 고르십시오.,"최근에는 위성 지도와 GPS 기술이 빠르게 발전하고 있다. 이 기술들은 정밀한 위치 추적과 내비게이션을 가능하게 만든다. 도로 건설, 교통 흐름 변화 같은 실시간 정보가 중요해지고 있다. (      )에 관한 정보의 정확성은 이제 필수적인 요소가 되었다. 사람들은 이를 활용하여 교통 체증을 피하고, 최적의 경로를 찾는다. 이 기술 덕분에 여행 계획은 물론 일상의 이동도 더욱 편리해졌다.","1) 날씨 예보와 기후 변화
2) 주변 상점과 서비스 시설
3) 도로와 교통 상황
4) 지역 축제와 이벤트",3,,,,,,,,,,,,,,,,,,
8,다음 글을 읽고 글쓴이가 느낀 감정으로 알맞은 것을 고르시오.,"우리가 이렇게 다시 연락을 하게 되다니 꿈만 같고, 믿기지가 않습니다. 너무 감사하고 보고 싶습니다. 몸 건강히 잘지내시죠? 부디 건강 챙기시기 바랍니다.",1. 행복 2. 슬픔 3.  지루함 4. 당황,1,,,,,,,,,,,,,,,,,,
9,다음을 알맞은 순서로 나열한 것을 고르십시오.,"
가. 지구의 자전이 있기 때문에 태양을 향하는 지역은 낮이 되고 향하지 않는 지역은 밤이 된다. 
나. 지구는 자전축을 중심으로 하루에 한번 서에서 동쪽으로 회전한다.
다. 이런 회전을 우리는 지구의 자전이라고 부른다.","1. 가-나-다
2. 나-가-다
3. 나-다-가
4. 다-가-나",3,,,,,,,,,,,,,,,,,,
10,다음 글에 대한 설명으로 적절한 것을 고르십시오.,"물결이 부드럽게 바닷가에 닿는 소리가 들리는 고요한 해변. 햇살이 부드럽게 비춰 오르는 파도와 함께 바닷가 모래는 금빛으로 빛난다. 멀리선은 작은 배들이 서로를 향해 춤추듯 조용히 흔들리고 있다. 바다의 푸른 물은 구름의 그림자로 흔들리며, 하늘은 푸른 색상과 흰 구름으로 가득 차 있어 마치 하늘과 바다가 서로 어우러진 듯한 아름다운 풍경이 펼쳐져 있다.","
  ① 바닷가의 모습을 묘사하고 있다.
  ② 바다의 환경에 대해 분류하고 있다.
  ③ 바다의 환경 보호에 대해 분석하고 있다.
  ④ 바다의 아름다운 모습과 배의 모습을 비교하고 있다.",1,,,,,,,,,,,,,,,,,,
